epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
25,0.9977940917015076,0.9997186660766602,9.999999747378752e-06,0.06318695843219757,0.9907590746879578,0.9810457229614258,0.9235293865203857,0.9969128966331482,0.3166210949420929,0.9312499761581421,0.8764705657958984
26,0.9977940917015076,0.9999969601631165,9.999999747378752e-06,0.05686889961361885,0.9992586970329285,0.9911764860153198,0.9176470637321472,0.9969074726104736,0.3064919114112854,0.9312499761581421,0.8764705657958984
27,0.9970588088035583,0.9999966025352478,9.999999747378752e-06,0.04833362624049187,0.9977859854698181,0.9941176176071167,0.9235293865203857,0.9969009160995483,0.30750158429145813,0.9312499761581421,0.8764705657958984
28,1.0,1.0,9.999999747378752e-06,0.041065093129873276,1.0,0.9977940917015076,0.9235293865203857,0.9970955848693848,0.29987093806266785,0.9312499761581421,0.8764705657958984
29,0.9985294342041016,0.9999995827674866,9.999999747378752e-06,0.038905512541532516,0.9992625117301941,0.9963235259056091,0.9235293865203857,0.9968826174736023,0.29793742299079895,0.9312499761581421,0.8764705657958984
30,0.9985294342041016,0.9999995827674866,9.999999747378752e-06,0.03869794309139252,1.0,0.9955882430076599,0.9176470637321472,0.9968242049217224,0.2914169728755951,0.9254658222198486,0.8764705657958984
31,1.0,0.9999998211860657,9.999999747378752e-06,0.03119572252035141,1.0,0.9963235259056091,0.9235293865203857,0.9969149827957153,0.28974443674087524,0.9320987462997437,0.8882352709770203
32,0.9970588088035583,0.9999988675117493,9.999999747378752e-06,0.0315980389714241,0.9977892637252808,0.9955882430076599,0.929411768913269,0.9970977306365967,0.28277644515037537,0.9382715821266174,0.8941176533699036
33,0.9992647171020508,0.9999998211860657,9.999999747378752e-06,0.025771882385015488,0.9992631077766418,0.9970588088035583,0.929411768913269,0.9971140027046204,0.28192704916000366,0.9378882050514221,0.8882352709770203
34,0.9992647171020508,0.9999995231628418,9.999999747378752e-06,0.024825584143400192,1.0,0.9977940917015076,0.9176470637321472,0.9968598484992981,0.2876809239387512,0.9320987462997437,0.8882352709770203
35,1.0,1.0,9.999999747378752e-06,0.0220367182046175,1.0,1.0,0.929411768913269,0.9968284368515015,0.2882053554058075,0.9386503100395203,0.8999999761581421
36,1.0,1.0,9.999999747378752e-06,0.020789233967661858,1.0,0.9992647171020508,0.929411768913269,0.9944344758987427,0.2796541452407837,0.9382715821266174,0.8941176533699036
37,0.9992647171020508,0.9999998211860657,9.999999747378752e-06,0.01813267357647419,1.0,0.9992647171020508,0.9352940917015076,0.994356632232666,0.27913951873779297,0.9447852969169617,0.9058823585510254
38,1.0,0.9999999403953552,9.999999747378752e-06,0.015912774950265884,1.0,1.0,0.9176470637321472,0.9942203164100647,0.2885133922100067,0.9263803958892822,0.8882352709770203
39,1.0,1.0,9.999999747378752e-06,0.016787197440862656,1.0,0.9985294342041016,0.9176470637321472,0.9941111207008362,0.29250943660736084,0.9263803958892822,0.8882352709770203
40,1.0,0.9999999403953552,9.999999747378752e-06,0.01358522567898035,1.0,1.0,0.9176470637321472,0.9941943883895874,0.2903311252593994,0.9268292784690857,0.8941176533699036
41,1.0,0.9999999403953552,9.999999747378752e-06,0.013822910375893116,1.0,1.0,0.9235293865203857,0.994296133518219,0.28266075253486633,0.9329268336296082,0.8999999761581421
42,0.9992647171020508,0.9999997615814209,9.999999747378752e-06,0.012641316279768944,0.9992641806602478,0.9985294342041016,0.9235293865203857,0.9942614436149597,0.28470709919929504,0.9329268336296082,0.8999999761581421
43,1.0,1.0,1.9999999949504854e-06,0.01100085023790598,1.0,1.0,0.9235293865203857,0.9942646026611328,0.28536373376846313,0.9329268336296082,0.8999999761581421
44,1.0,0.9999998807907104,1.9999999949504854e-06,0.01327771320939064,1.0,0.9992647171020508,0.9176470637321472,0.9942646026611328,0.2872888743877411,0.9268292784690857,0.8941176533699036
