Timestamp,Classes,Class Count,Training Batches,Testing Batches
2025-05-22 19:53:24,"['Aloo gobi', 'Bhindi fry', 'Ras malai', 'bbq', 'biryani', 'brownie', 'butter_chicken', 'chai', 'chapati', 'chicken_tikka', 'french_fries', 'fried_rice', 'haleem', 'omelette', 'paratha', 'paratha_roll', 'samosa']",17,43,11
2025-05-22 19:53:29,"['Aloo gobi', 'Bhindi fry', 'Ras malai', 'bbq', 'biryani', 'brownie', 'butter_chicken', 'chai', 'chapati', 'chicken_tikka', 'french_fries', 'fried_rice', 'haleem', 'omelette', 'paratha', 'paratha_roll', 'samosa']",17,43,11
